"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售面积:黑龙江:绥化市,千平方米,2300.669875,6165281.832,2482.998557,1.684500864,2.463162972,1.079250258,96,8789.027,1601.888,16,,,,,,,,,,,,,96.00,163.00,164.00,628.10,650.10,874.00,1205.00,2349.40,4045.00,6993.45,8789.03,2595.59,3358.65,1695.62,1528.13,1675.65,
商品房销售面积:上海,千平方米,20057.33324,90546104.12,9515.571665,-0.034524393,-0.426455356,0.474418586,1656.7,36949.578,19714.703,25,,,,,1656.70,5676.60,5735.00,6858.50,11419.10,13287.00,15578.70,17966.40,19714.70,23764.00,36420.47,31588.75,30254.00,36949.58,22961.20,33724.49,20555.30,17713.05,18984.60,23822.00,20846.60,24313.60,27056.90,16916.00,17670.10
商品房销售面积:江苏:南京市,千平方米,8910.41275,18814275.81,4337.5426,-0.192955261,-1.037810871,0.486794801,1740.015,15581.8,9487.449,20,,,,,,,,,,1740.02,2222.25,2816.02,3820.51,4444.85,6079.61,9466.20,10105.05,11378.79,7035.48,11869.44,8231.70,7676.98,9508.70,12220.13,12075.79,15431.56,15581.80,14296.10,12207.30
商品房销售面积:江苏:无锡市,千平方米,8126.442471,11224292.28,3350.267494,-0.093685774,-0.820588618,0.412267423,2354,13783.5,8391.503,17,,,,,,,,,,,,,2354.00,3046.00,4101.00,5967.80,6485.80,7677.40,5373.50,11108.00,10451.00,6598.90,9262.70,9094.37,8391.50,9869.05,12764.10,11820.90,13783.50
商品房销售面积:江苏:徐州市,千平方米,5819.729588,14031944.3,3745.923691,0.316065041,-0.897173901,0.643659406,793,12534.5,6218,17,,,,,,,,,,,,,1027.00,1001.00,793.00,2730.40,2884.60,3577.00,2942.70,5444.00,6218.00,6393.80,6983.44,8568.22,7380.33,7905.12,10714.30,11838.00,12534.50
商品房销售面积:江苏:常州市,千平方米,6465.188688,7369792.292,2714.736137,-0.36947418,-1.178730576,0.419900527,2059,10303.1,7089.654,16,,,,,,,,,,,,,2486.00,2059.00,2366.00,4225.30,4791.20,5794.90,5044.90,9227.00,9157.00,6611.20,7568.11,8759.83,7874.99,7842.49,9332.00,10303.10,
商品房销售面积:江苏:苏州市,千平方米,15219.70553,35413773.44,5950.947272,-0.160013762,-0.922802496,0.391002787,5397,24940.5,15140,17,,,,,,,,,,,,,5397.00,6149.00,7071.00,11285.20,13913.80,19144.60,10073.60,23461.00,15140.00,12109.10,14662.87,18750.52,15991.60,21337.31,24940.50,19366.60,19941.30
商品房销售面积:江苏:南通市,千平方米,7439.527235,21506492.92,4637.509344,0.89784628,0.269110354,0.623360759,2004,17315.3,6775.3,17,,,,,,,,,,,,,2037.00,2004.00,2283.00,3269.00,4717.50,5182.90,4193.50,6666.00,7395.00,6775.30,7124.90,10352.58,9191.71,9379.58,12008.00,16576.70,17315.30
商品房销售面积:江苏:连云港市,千平方米,3435.117063,3061919.907,1749.834251,-0.129825268,-1.19008503,0.509395814,773,6439.1,3782.3935,16,,,,,,,,,,,,,773.00,1025.00,1267.00,1448.60,1945.40,2718.60,2980.00,5145.00,4742.00,4356.80,4188.40,4896.40,3376.39,4415.79,5244.40,6439.10,
商品房销售面积:江苏:淮安市,千平方米,4756.168063,8237777.94,2870.152947,-0.008732925,-1.58098215,0.60345911,881,8803.6,5418.9,16,,,,,,,,,,,,,881.00,1209.00,1212.00,1743.50,2048.70,3236.80,2639.40,5313.00,6408.00,5524.80,6771.35,8424.28,6145.34,7039.91,8698.00,8803.60,
商品房销售面积:江苏:盐城市,千平方米,4951.955647,8245585.442,2871.512744,0.113899985,-1.237296517,0.579874488,968,9748.2,5482.032,17,,,,,,,,,,,,,968.00,1443.00,1220.00,1781.20,2657.20,3136.50,2869.10,5027.00,5813.00,5628.20,5482.03,7423.16,6245.21,7164.94,8425.50,9748.20,9151.00
商品房销售面积:江苏:扬州市,千平方米,4934.170813,4672915.249,2161.692682,-0.160123437,-0.769039497,0.438106576,1146,8797.1,5335.75,16,,,,,,,,,,,,,1146.00,1928.00,2271.00,3480.20,3919.30,4306.60,3043.80,5147.00,6288.00,5524.50,6019.10,6994.87,6350.68,6382.98,7347.60,8797.10,
