,单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
财政收入:黑龙江:大庆市,百万人民币,10090.51938,19029914.31,4362.329,-0.31070058,-1.556823879,0.43231957,2991.43,15527.35,11156.41,16,,,,,,,,,,,,,,,,,,,,,,,,,,2991.43,4409.42,4585.96,5177.71,6285.85,8254.98,8448.33,9589.64,12842.93,14032.67,14360.02,14104.21,12723.18,13024.63,15527.35,15090.00
财政收入:黑龙江:伊春市,百万人民币,920.37375,322039.0717,567.4848647,0.060791276,-1.737693236,0.616580889,217.15,1788.57,917.31,16,,,,,,,,,,,,,,,,,,,,,,,,,,246.41,217.15,263.63,294.99,376.26,483.02,586.12,832.04,1002.58,1237.64,1484.35,1464.29,1425.63,1404.51,1618.79,1788.57
财政收入:黑龙江:佳木斯市,百万人民币,2412.1275,2373571.05,1540.639818,-0.073823218,-1.973251683,0.638705797,461.35,4201.23,2532.53,16,,,,,,,,,,,,,,,,,,,,,,,,,,561.91,461.35,544.37,866.49,852.51,1100.14,1454.00,2085.09,2979.97,3794.53,4184.58,4201.23,3598.46,3983.61,3795.80,4130.00
财政收入:黑龙江:七台河市,百万人民币,1520.414375,574577.3792,758.0088253,-0.311436481,-1.020703698,0.498554103,276.43,2750,1701.7,16,,,,,,,,,,,,,,,,,,,,,,,,,,276.43,359.80,588.28,717.06,859.11,1308.32,1678.46,2332.24,2038.17,2179.40,1892.59,1800.43,1724.94,1546.06,2275.34,2750.00
财政收入:黑龙江:牡丹江市,百万人民币,4491.536875,7704085.81,2775.623499,0.046648849,-1.588168104,0.61796743,951.27,8814.43,4821.575,16,,,,,,,,,,,,,,,,,,,,,,,,,,951.27,1008.30,1260.38,1351.64,1905.13,2513.08,3056.63,4282.30,5360.85,7029.29,8092.78,8814.43,5897.88,6800.98,7589.65,5950.00
财政收入:黑龙江:黑河市,百万人民币,1690.336875,1348530.698,1161.262545,0.080672026,-1.675034345,0.687000658,310.06,3440,1899.115,16,,,,,,,,,,,,,,,,,,,,,,,,,,368.80,386.36,310.06,361.31,471.85,718.19,987.11,1954.26,1843.97,2119.61,2307.47,2636.06,2894.40,3031.82,3214.12,3440.00
财政收入:黑龙江:绥化市,百万人民币,3492.852667,5259872.744,2293.441245,-0.049927999,-2.056735972,0.656609787,788.52,6441.63,4204.24,15,,,,,,,,,,,,,,,,,,,,,,,,,,981.94,788.52,874.96,1017.62,1200.38,1586.03,1931.53,4862.30,4204.24,5543.19,6441.63,6154.12,5621.40,5577.98,5606.95,
财政收入:上海,百万人民币,153690.7098,41691274494,204184.413,1.535377074,1.272647014,1.328541024,15639,710815,39222,41,16922.00,17269.00,17473.00,17435.00,16799.00,15639.00,16396.00,18423.00,17946.00,16897.00,16162.00,16688.00,16699.00,17553.00,18556.00,24234.00,17533.00,22730.00,28849.00,35233.00,39222.00,43185.00,49796.00,62024.00,71979.00,89929.00,111972.00,143390.00,160037.00,210263.00,238234.00,254029.75,287358.40,342983.18,374370.53,410950.86,458555.36,551949.64,640613.00,664226.38,710815.00
财政收入:江苏:南京市,百万人民币,65258.1525,1751993461,41856.82097,0.524648,-0.841406447,0.641403708,13647.88,147002,57690.13,16,,,,,,,,,,,,,,,,,,,,,,,,,,13647.88,16987.84,21107.46,24643.92,33018.83,38656.00,43450.80,51880.08,63500.18,73301.68,83130.76,90348.90,102003.00,114260.00,127191.11,147002.00
财政收入:江苏:无锡市,百万人民币,53970.26875,906687696.7,30111.25532,-0.004703901,-1.400103296,0.55792302,10434,101228,56344.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,10434.00,13528.44,18168.18,22088.57,30058.29,36543.00,41591.43,51189.00,61500.00,65803.01,71091.44,76800.77,83000.00,87500.00,93000.17,101228.00
