"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
存款:浙江:台州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,105618.50,116406.89,136944.16,164998.40,192130.38,235337.74,293560.51,358847.73,399890.00,450917.00,521972.00,567103.00,630594.00,706862.00,761841.00,851892.00
存款:浙江:丽水市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29966.62,33257.77,37439.54,46846.58,52774.48,63235.84,93703.13,112822.62,129355.83,147523.17,168113.83,185836.40,196346.00,215105.00,230908.00,257233.00
存款:安徽:合肥市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,105962.21,129596.37,152185.29,186246.00,223133.09,272567.89,373530.91,454178.42,582205.88,704314.97,832936.99,926958.00,1119370.33,1347968.09,1423540.59,1567727.00
存款:安徽:芜湖市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,28401.10,32878.68,38239.62,46231.19,57407.57,71042.42,95339.74,121317.42,167717.88,187626.18,217596.38,232295.00,254868.08,291578.44,325456.82,374369.00
存款:安徽:蚌埠市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25800.51,30045.16,33139.00,36780.95,41022.34,48240.06,57777.65,70765.00,83960.34,97954.93,126254.59,143345.60,162364.96,186906.14,196461.93,
存款:安徽:淮南市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19904.92,25237.08,33345.00,40081.54,45078.80,55915.37,71906.34,86348.55,96129.12,111579.29,121249.30,122874.46,163045.92,177757.41,205756.98,
存款:安徽:马鞍山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,20001.11,25693.16,30829.25,36755.06,43744.48,53606.66,67868.30,80043.30,109408.57,126918.86,144785.20,147562.15,160971.41,187196.52,199404.96,223705.00
存款:安徽:淮北市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15116.95,18322.02,24393.36,27777.30,30079.73,37538.93,47109.64,56855.63,69685.00,78870.40,86497.05,94816.79,103580.00,132180.00,140060.00,147540.00
存款:安徽:铜陵市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,10510.28,13381.67,16108.03,19027.72,23053.42,26187.10,34765.29,40651.24,48566.32,57081.42,64440.52,67629.05,80990.00,121930.00,138770.00,144954.94
存款:安徽:安庆市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29501.05,34892.10,42276.78,50319.42,60786.91,75280.33,94162.04,115241.41,140863.09,170337.02,198057.42,223762.59,225347.52,265043.48,294205.62,315880.00
存款:安徽:黄山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,13471.58,16091.00,18570.79,21417.76,24978.13,29994.28,37298.09,47237.97,56154.77,66049.65,74307.68,82147.77,91630.00,102580.00,115560.00,126674.00
存款:安徽:滁州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,18462.48,22469.14,27675.80,32502.14,37635.62,47017.71,61448.31,77643.92,91790.82,111702.44,128703.49,142182.78,167270.07,198997.64,229005.93,
存款:安徽:阜阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,30091.39,35974.01,42263.91,51654.01,60590.02,72699.15,86049.56,104266.37,125241.64,149140.70,175094.54,204752.73,245559.56,300304.63,350499.34,
存款:安徽:宿州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,18833.29,22789.98,27663.31,32801.19,37832.88,47520.29,56556.83,69997.70,85423.57,101792.77,115845.94,131459.08,149030.30,175145.71,201435.67,
存款:安徽:巢湖市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19100.85,22968.59,27286.98,32079.75,39135.49,47228.69,57493.71,69068.64,,,,,,,,
存款:安徽:六安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,20334.96,24363.78,29246.34,35945.79,42590.27,53969.59,68049.25,84348.42,105489.77,127802.47,152523.30,171557.58,173537.86,207642.42,243221.53,
存款:安徽:亳州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,14561.85,17064.13,19598.00,23319.90,28344.23,34591.01,43377.57,54474.96,67529.28,81349.13,92804.38,106079.77,126010.00,158990.00,184340.00,211270.00
存款:安徽:池州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,8713.10,10736.19,12934.96,15853.32,18273.62,22640.32,28751.52,36566.93,43659.97,51894.63,59728.03,66857.70,74966.34,87705.28,95186.81,
存款:安徽:宣城市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15350.13,17807.78,20475.31,24256.00,28790.66,34434.45,43684.18,57710.97,67962.01,81280.72,91950.54,103669.04,120469.05,146820.00,167540.00,
存款:福建:福州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,169640.51,201887.30,237575.42,289624.92,329010.90,385875.90,477799.31,596106.64,677143.50,770728.00,895013.89,973102.94,1127096.06,1243230.81,1359768.00,1420430.00
