"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:人均:辽宁:盘锦市,人民币,58976.46556,646415417,25424.70092,-0.056012253,-1.674758772,0.431099095,24468,94052,59095,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24558.38,24468.00,27226.00,29591.00,34641.00,39316.00,43131.00,51214.00,50930.00,66976.00,79584.00,87153.00,94052.00,90615.00,87351.00,70486.00,75682.00,84602.00
国内生产总值:人均:辽宁:铁岭市,人民币,18791.074,109875233.5,10482.13878,0.001895189,-1.543462026,0.557825422,4616.68,34143,19795,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4616.68,5079.00,5896.00,7204.00,8764.00,10672.00,13249.00,17543.00,19795.00,26556.00,28647.00,32129.58,34143.00,32562.00,27885.00,22223.00,22484.00,
国内生产总值:人均:辽宁:朝阳市,人民币,17767.87232,132158010.4,11495.99976,-0.036406588,-1.727093144,0.647010489,2776.02,33591,18630,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2776.02,3066.00,3568.00,4538.00,6280.00,7469.00,9824.00,13114.00,15724.00,21536.00,26927.00,30764.68,33591.00,33379.00,28852.00,24285.00,25862.00,28266.00
国内生产总值:人均:辽宁:葫芦岛市,人民币,19407.63389,74808670.38,8649.200563,-0.043124796,-1.643527185,0.445659714,6837.41,32012,18326.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6837.41,7633.00,8857.00,10777.00,10960.00,12672.00,14965.00,16351.00,15856.00,20302.00,24789.00,27709.00,29915.00,28021.00,28176.00,25347.00,28158.00,32012.00
国内生产总值:人均:吉林:长春市,人民币,46924.33889,705527725.3,26561.77188,0.404203089,-1.247056899,0.566055325,14274.1,95663,40844.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14274.10,16220.00,18705.00,21285.00,23060.00,23677.00,28132.00,34193.00,37753.00,43936.00,52649.00,58691.00,66286.00,70891.00,73324.00,79434.00,86465.00,95663.00
国内生产总值:人均:吉林:吉林市,人民币,35477.55235,373232822.5,19319.23452,-0.016860393,-1.862011512,0.544548122,10345.59,60876.6,34583,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10345.59,11863.00,13816.00,16239.00,14498.00,16796.00,23277.00,30016.00,34583.00,41479.00,50914.00,56244.20,60876.60,55548.00,56076.00,57818.00,52729.00,
国内生产总值:人均:吉林:四平市,人民币,21292.92353,148317314.7,12178.55963,0.106955584,-1.682903992,0.571953382,5551.7,37714,19468,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5551.70,6157.00,6972.00,8539.00,10027.00,11468.00,14267.00,17739.00,19468.00,22942.00,28874.00,33150.00,36292.00,36900.00,37714.00,36732.00,29187.00,
国内生产总值:人均:吉林:辽源市,人民币,31392.23882,481076497.8,21933.45613,0.204709843,-1.7097879,0.698690407,5126.06,63480,27160,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5126.06,5611.00,6570.00,8071.00,11083.00,13918.00,17545.00,21989.00,27160.00,33137.00,40844.00,49479.00,57421.00,56467.00,59855.00,63480.00,55912.00,
国内生产总值:人均:吉林:通化市,人民币,25387.05412,227675781.3,15088.9291,0.140154844,-1.775182299,0.594355258,7027.92,45378,22820,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7027.92,7670.00,8464.00,9563.00,10258.00,12495.00,15559.00,19703.00,22820.00,27690.00,34515.00,39111.00,44909.00,45378.00,45171.00,42979.00,38267.00,
国内生产总值:人均:吉林:白山市,人民币,30684.26765,387457820.6,19683.9483,0.104462204,-1.815800206,0.641499694,7042.55,56411,27495,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7042.55,7551.00,8264.00,7528.00,12139.00,14746.00,18273.00,23159.00,27495.00,33524.00,41325.00,50158.00,52831.00,53300.00,53136.00,56411.00,54750.00,
