"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
企业存款:浙江:杭州市,百万人民币,395713.2222,45950399761,214360.4436,0.994176003,-0.054605671,0.541706548,165280,793654,323920,9,,,,,,,,,,,,,,,,,,,,,,,,165280.00,217510.00,245400.00,270570.00,323920.00,415018.00,457168.00,672899.00,793654.00,,,,,,
企业存款:浙江:宁波市,百万人民币,183589.0678,6694101027,81817.48607,0.696865657,-0.381359099,0.445655545,78570,326210.78,167440,9,,,,,,,,,,,,,,,,,,,,,,,,78570.00,112620.00,129000.00,142510.00,167440.00,194090.00,211956.00,289904.83,326210.78,,,,,,
企业存款:浙江:温州市,百万人民币,91826.55556,2323258115,48200.18791,1.401062778,1.366922324,0.524904671,44740,192472,77450,9,,,,,,,,,,,,,,,,,,,,,,,,44740.00,54560.00,61720.00,65150.00,77450.00,86859.00,97136.00,146352.00,192472.00,,,,,,
企业存款:浙江:嘉兴市,百万人民币,56140.55556,841778960.8,29013.42725,1.029235791,0.021096563,0.516799789,23550,109598,46150,9,,,,,,,,,,,,,,,,,,,,,,,,23550.00,34040.00,37430.00,39370.00,46150.00,56813.00,62804.00,95510.00,109598.00,,,,,,
企业存款:浙江:湖州市,百万人民币,24957.75,213948574.6,14626.98105,1.404093056,1.020556651,0.5860697,11010,54687,18070,9,,,,,,,,,,,,,,,,,,,,,,,,11010.00,15750.00,16540.00,15820.00,18070.00,22791.75,26572.00,43379.00,54687.00,,,,,,
企业存款:浙江:绍兴市,百万人民币,103259.3,7850818693,88604.84576,1.866862527,3.455480174,0.858081023,31130,317385,69634.5,10,,,,,,,,,,,,,,,,,,,,,,,,31130.00,42410.00,50220.00,51270.00,61040.00,78229.00,79932.00,139480.00,181497.00,,317385.00,,,,
企业存款:浙江:金华市,百万人民币,56290.30094,669901243.8,25882.4505,1.136605289,0.664119751,0.459803022,26840,107562,48720,9,,,,,,,,,,,,,,,,,,,,,,,,26840.00,35700.00,41830.00,42500.00,48720.00,53177.71,63693.00,86590.00,107562.00,,,,,,
企业存款:浙江:衢州市,百万人民币,15756.78889,44075852.87,6638.964744,0.842047772,-0.153797218,0.421339956,7970,27858.66,16310,9,,,,,,,,,,,,,,,,,,,,,,,,7970.00,10430.00,10500.00,11620.00,16310.00,16511.00,16424.00,24187.44,27858.66,,,,,,
企业存款:浙江:舟山市,百万人民币,23784.22222,275784533.4,16606.76168,0.989568513,0.08286805,0.698225972,7350,56171,15880,9,,,,,,,,,,,,,,,,,,,,,,,,7350.00,9580.00,11570.00,13360.00,15880.00,56171.00,25987.00,35237.00,38923.00,,,,,,
企业存款:浙江:台州市,百万人民币,54999.22222,558976647.4,23642.68698,0.869488758,-0.066418478,0.429873115,26250,98270,49970,9,,,,,,,,,,,,,,,,,,,,,,,,26250.00,35740.00,39360.00,41540.00,49970.00,59132.00,59506.00,85225.00,98270.00,,,,,,
企业存款:浙江:丽水市,百万人民币,13878,37935921.25,6159.214337,1.194890008,0.833899395,0.44381138,7390,26256,12880,9,,,,,,,,,,,,,,,,,,,,,,,,7390.00,8680.00,9620.00,10630.00,12880.00,14357.00,14054.00,21035.00,26256.00,,,,,,
