"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:辽宁:盘锦市,百万人民币,118445.5425,8937441439,94538.04229,0.731765503,-0.963648287,0.798156185,21942.27,292037.28,83154.245,20,,,,,,,,,,,,,,,,,,,21942.27,24971.79,,24577.50,35782.55,38136.29,38404.93,43329.95,49578.79,62443.14,77234.12,89074.37,115286.06,125623.85,167635.66,215594.85,247161.40,282604.20,292037.28,260228.92,157262.93,,
工业总产值:辽宁:铁岭市,百万人民币,87580.5685,11812607939,108685.8222,1.384088571,0.573682328,1.240981008,7718.43,345725.16,39106.1,20,,,,,,,,,,,,,,,,,,,8426.92,9093.26,,7718.43,8402.74,9110.14,10225.73,12742.42,16585.66,24944.02,35481.66,54937.48,91368.51,143528.92,235512.98,281826.68,345725.16,276454.68,91437.13,45358.31,42730.54,,
工业总产值:辽宁:朝阳市,百万人民币,49978.072,2215494307,47069.03766,0.82836384,-0.787711133,0.941793786,6246.37,142570,32346.95,20,,,,,,,,,,,,,,,,,,,8153.24,7751.61,,6246.37,6889.68,7531.03,9082.80,11885.48,16968.04,21855.80,26979.87,40671.09,61517.47,73611.80,94661.98,116311.26,125488.64,142570.00,126139.90,57531.35,37714.03,,
工业总产值:辽宁:葫芦岛市,百万人民币,57116.22238,953083787.2,30872.05512,0.053904317,-1.400434954,0.540512902,15577.63,103552.59,60880.28,21,,,,,,,,,,,,,,,,,,,16320.61,18381.66,,15577.63,21052.59,24473.90,23437.86,29159.05,39403.62,50982.30,60880.28,68130.91,72135.45,68242.05,86362.15,97455.00,101503.05,99680.00,103552.59,79219.97,54630.00,68860.00,
工业总产值:吉林:长春市,百万人民币,433238.6386,1.31424E+11,362525.1582,0.486498865,-1.500312169,0.836779377,47578.48,1035790,292088.62,21,,,,,,,,,,,,,,,,,,,47578.48,52354.35,,59663.43,74971.10,95359.21,120246.84,151152.70,171267.89,172896.53,214094.95,292088.62,365327.07,449289.53,588416.13,704797.15,829416.96,922804.27,975663.86,859639.07,915193.27,1035790.00,
工业总产值:吉林:吉林市,百万人民币,157170.9381,14227723374,119280.0209,0.343820745,-1.713823964,0.758919062,31994.86,322379.26,122286.81,21,,,,,,,,,,,,,,,,,,,31994.86,35645.62,,34055.20,40897.84,34140.62,35769.32,45428.68,64153.58,75473.85,90239.37,122286.81,161121.13,169752.00,210415.51,269541.00,303286.42,314013.89,316025.51,310099.23,322379.26,313870.00,
工业总产值:吉林:四平市,百万人民币,82210.16095,6918424275,83177.0658,0.628301882,-1.440565936,1.011761379,7140.32,220545.88,37666.66,21,,,,,,,,,,,,,,,,,,,8597.84,8882.98,,7140.32,8081.12,9088.03,10398.63,12523.93,15590.85,19590.13,24106.78,37666.66,53153.31,75486.08,103647.34,141125.85,171079.60,194421.99,204322.80,220545.88,196683.26,204280.00,
工业总产值:吉林:辽源市,百万人民币,53234.62238,3449691004,58734.07022,0.812497901,-0.989882777,1.103305849,2530.43,163156,23280.83,21,,,,,,,,,,,,,,,,,,,3514.78,3568.28,,2530.43,2796.44,3426.97,4131.42,5370.72,7109.88,10981.49,16226.02,23280.83,31439.89,42308.68,58564.89,85975.11,102294.83,118138.25,132476.07,145263.33,155372.76,163156.00,
工业总产值:吉林:通化市,百万人民币,73852.0855,5772057083,75974.05533,1.022162531,-0.339133566,1.0287327,8516.37,235313.81,36768.42,20,,,,,,,,,,,,,,,,,,,8516.37,9655.84,,8936.12,12217.06,14743.36,14494.49,15479.43,19290.19,23568.96,31232.57,42304.27,60754.96,65671.47,86998.42,120326.68,136205.54,165261.32,191562.26,214508.59,235313.81,,
工业总产值:吉林:白山市,百万人民币,50595.8535,2840860794,53299.72603,0.790002811,-1.144791271,1.053440595,5056.15,143676.19,20635.58,20,,,,,,,,,,,,,,,,,,,5056.15,5489.21,,5688.79,6365.59,6983.08,7481.37,7748.52,10312.53,13097.69,17038.23,24232.93,35408.35,48633.67,67408.20,95874.34,116808.46,121890.04,131987.27,140736.46,143676.19,,
